2 1 <24.353082425030887, 24.791017627356357> <25.538386616128214, 31.238827383916338>
2 3 <24.353082425030887, 24.791017627356357> <33.01684945640631, 31.043076672652905>
3 4 <33.01684945640631, 31.043076672652905> <35.973750366198914, 26.581442325124655>
5 4 <31.232094524645106, 22.58627727854163> <35.973750366198914, 26.581442325124655>
2 5 <24.353082425030887, 24.791017627356357> <31.232094524645106, 22.58627727854163>
5 6 <31.232094524645106, 22.58627727854163> <40.92403717130922, 22.98796160370069>
6 7 <40.92403717130922, 22.98796160370069> <41.33403685633326, 29.095376776178288>
8 1 <30.11540987424597, 36.49673939348361> <25.538386616128214, 31.238827383916338>
9 7 <39.02541459502186, 36.758792627069035> <41.33403685633326, 29.095376776178288>
9 10 <39.02541459502186, 36.758792627069035> <46.104011349210055, 32.953823988142354>
7 10 <41.33403685633326, 29.095376776178288> <46.104011349210055, 32.953823988142354>
11 2 <17.752923801057904, 29.297137252042905> <24.353082425030887, 24.791017627356357>
11 12 <17.752923801057904, 29.297137252042905> <21.639470019712082, 34.74125242244591>
12 8 <21.639470019712082, 34.74125242244591> <30.11540987424597, 36.49673939348361>
8 9 <30.11540987424597, 36.49673939348361> <39.02541459502186, 36.758792627069035>
1 3 <25.538386616128214, 31.238827383916338> <33.01684945640631, 31.043076672652905>
3 9 <33.01684945640631, 31.043076672652905> <39.02541459502186, 36.758792627069035>
4 6 <35.973750366198914, 26.581442325124655> <40.92403717130922, 22.98796160370069>
6 13 <40.92403717130922, 22.98796160370069> <45.71906945245444, 26.275570510478676>
13 10 <45.71906945245444, 26.275570510478676> <46.104011349210055, 32.953823988142354>
13 14 <45.71906945245444, 26.275570510478676> <50.7192697948004, 30.024918289213105>
10 14 <46.104011349210055, 32.953823988142354> <50.7192697948004, 30.024918289213105>
